job_id,task_id,src_endpoint,src_bucket_name,src_object_name,dst_endpoint,dst_bucket_name,dst_object_name,range_begin,range_end
9eab7baa-6bd1-43c1-b27e-b6c895391d82,3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,malicious-bucket,,0,100
9eab7baa-6bd1-43c1-b27e-b6c895391d82,38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,normal-bucket,,100,200
9eab7baa-6bd1-43c1-b27e-b6c895391d82,8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,malicious-bucket,,200,300
9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,normal-bucket,,300,400
9eab7baa-6bd1-43c1-b27e-b6c895391d82,95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,malicious-bucket,,400,500
9eab7baa-6bd1-43c1-b27e-b6c895391d82,1d52ecd2-058f-4bf7-9b22-359de89991f6,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,normal-bucket,,500,600
9eab7baa-6bd1-43c1-b27e-b6c895391d82,65387b91-0772-4709-9fcc-d93b414e3465,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,normal-bucket,,600,700
9eab7baa-6bd1-43c1-b27e-b6c895391d82,7cc67c4e-6078-4d25-b5fe-df210461c6e0,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,malicious-bucket,,700,800
9eab7baa-6bd1-43c1-b27e-b6c895391d82,e34cd7b3-d9fd-4c13-a8fd-e88272a122c5,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,normal-bucket,,800,900
9eab7baa-6bd1-43c1-b27e-b6c895391d82,64932e8b-802e-4dfe-8dc0-1840041b9b59,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,normal-bucket,,900,1000
9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,malicious-bucket,,1000,1100
9eab7baa-6bd1-43c1-b27e-b6c895391d82,d1730406-c985-4775-9aeb-691a3862557d,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,malicious-bucket,,1100,1200
9eab7baa-6bd1-43c1-b27e-b6c895391d82,3d045491-b02b-44b7-8b2a-e86bb09d90ff,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,malicious-bucket,,1200,1300
9eab7baa-6bd1-43c1-b27e-b6c895391d82,28cd28e3-f66e-4b3d-8ec4-5710973b5b95,minio.minio-s.svc.cluster.local:80,dummy-bucket,dummy_sensor_data.csv,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,normal-bucket,,1300,1400
