id,job_id,task_id,timestamp,src_ip,dst_ip,src_port,dst_port,packet_size,protocol
363,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.538751+00,10.2.1.147,10.2.2.161,57362,53,132,UDP
364,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.541331+00,10.2.1.147,10.2.3.58,51303,53,120,UDP
365,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.541342+00,10.2.1.147,10.2.3.58,36249,53,120,UDP
366,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.563033+00,10.2.1.147,10.2.2.161,57436,53,116,UDP
367,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.563101+00,10.2.1.147,10.2.3.58,34986,53,116,UDP
368,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.565614+00,10.2.1.147,10.2.2.161,41925,53,102,UDP
369,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.565623+00,10.2.1.147,10.2.2.161,55202,53,102,UDP
370,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.56843+00,10.2.1.147,10.2.0.81,37708,9000,74,TCP
371,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.572802+00,10.2.1.147,10.2.0.81,37708,9000,66,TCP
372,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.573097+00,10.2.1.147,10.2.0.81,37708,9000,327,TCP
373,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.574576+00,10.2.1.147,10.2.0.81,37708,9000,66,TCP
374,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.574697+00,10.2.1.147,10.2.0.81,37708,9000,66,TCP
375,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.575083+00,10.2.1.147,10.2.0.81,37708,9000,66,TCP
376,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.575125+00,10.2.1.147,10.2.3.58,59053,53,132,UDP
377,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.575215+00,10.2.1.147,10.2.3.58,57922,53,132,UDP
378,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.578071+00,10.2.1.147,10.2.2.161,39738,53,120,UDP
